year,category,film,winner,words
1942 (15th) Academy Awards,Actor,Yankee Doodle Dandy,James Cagney,98
1946 (19th) Academy Awards,Actor,The Best Years of Our Lives,Fredric March (not present; accepted by Cathy O'Donnell),56
1947 (20th) Academy Awards,Actor,A Double Life,Ronald Colman,96
1949 (22nd) Academy Awards,Actor,All the King's Men,Broderick Crawford,29
1950 (23rd) Academy Awards,Actor,Cyrano de Bergerac,José Ferrer (accepted via open audio circuit from New York City; statuette accepted by presenter in Hollywood),212
1951 (24th) Academy Awards,Actor,The African Queen,Humphrey Bogart,73
1952 (25th) Academy Awards,Actor,High Noon,Gary Cooper (not present; accepted by John Wayne),159
1953 (26th) Academy Awards,Actor,Stalag 17,William Holden,4
1954 (27th) Academy Awards,Actor,On the Waterfront,Marlon Brando,64
1955 (28th) Academy Awards,Actor,Marty,Ernest Borgnine,61
1956 (29th) Academy Awards,Actor,The King and I,Yul Brynner,22
1957 (30th) Academy Awards,Actor,The Bridge on the River Kwai,Alec Guinness (not present; accepted by Jean Simmons),79
1958 (31st) Academy Awards,Actor,Separate Tables,David Niven,36
1959 (32nd) Academy Awards,Actor,Ben-Hur,Charlton Heston,131
1960 (33rd) Academy Awards,Actor,Elmer Gantry,Burt Lancaster,76
1961 (34th) Academy Awards,Actor,Judgment at Nuremberg,Maximilian Schell,104
1962 (35th) Academy Awards,Actor,To Kill a Mockingbird,Gregory Peck,74
1963 (36th) Academy Awards,Actor,Lilies of the Field,Sidney Poitier,52
1964 (37th) Academy Awards,Actor,My Fair Lady,Rex Harrison,86
1965 (38th) Academy Awards,Actor,Cat Ballou,Lee Marvin,46
1966 (39th) Academy Awards,Actor,A Man for All Seasons,Paul Scofield (not present; accepted by actress Wendy Hiller),62
1967 (40th) Academy Awards,Actor,In the Heat of the Night,Rod Steiger,120
1968 (41st) Academy Awards,Actor,Charly,Cliff Robertson (not present; accepted by Frank Sinatra),44
1969 (42nd) Academy Awards,Actor,True Grit,John Wayne,127
1970 (43rd) Academy Awards,Actor,Patton,George C. Scott (not present; accepted by producer Frank McCarthy),44
1971 (44th) Academy Awards,Actor,The French Connection,Gene Hackman,143
1972 (45th) Academy Awards,Actor,The Godfather,Marlon Brando (not present; award refused by Sacheen Littlefeather (aka Marie Cruz)),141
1973 (46th) Academy Awards,Actor,Save the Tiger,Jack Lemmon,240
1974 (47th) Academy Awards,Actor,Harry and Tonto,Art Carney,59
1975 (48th) Academy Awards,Actor,One Flew over the Cuckoo's Nest,Jack Nicholson,106
1976 (49th) Academy Awards,Actor,Network,Peter Finch (accepted by Paddy Chayefsky and Mrs. Eletha Finch),196
1977 (50th) Academy Awards,Actor,The Goodbye Girl,Richard Dreyfuss,78
1978 (51st) Academy Awards,Actor,Coming Home,Jon Voight,317
1979 (52nd) Academy Awards,Actor,Kramer vs. Kramer,Dustin Hoffman,362
1980 (53rd) Academy Awards,Actor,Raging Bull,Robert De Niro,240
1981 (54th) Academy Awards,Actor,On Golden Pond,"Henry Fonda (not present; accepted by his daughter, Jane Fonda)",590
1982 (55th) Academy Awards,Actor,Gandhi,Ben Kingsley,123
1983 (56th) Academy Awards,Actor,Tender Mercies,Robert Duvall,265
1984 (57th) Academy Awards,Actor,Amadeus,F. Murray Abraham,127
1985 (58th) Academy Awards,Actor,Kiss of the Spider Woman,William Hurt,56
1986 (59th) Academy Awards,Actor,The Color of Money,Paul Newman (not present; accepted by Robert E. Wise),107
1987 (60th) Academy Awards,Actor,Wall Street,Michael Douglas,316
1988 (61st) Academy Awards,Actor,Rain Man,Dustin Hoffman,327
1989 (62nd) Academy Awards,Actor,My Left Foot,Daniel Day Lewis,111
1990 (63rd) Academy Awards,Actor,Reversal of Fortune,Jeremy Irons,126
1991 (64th) Academy Awards,Actor,The Silence of the Lambs,Anthony Hopkins,159
1992 (65th) Academy Awards,Actor,Scent of a Woman,Al Pacino,472
1993 (66th) Academy Awards,Actor,Philadelphia,Tom Hanks,416
1994 (67th) Academy Awards,Actor,Forrest Gump,Tom Hanks,230
1995 (68th) Academy Awards,Actor,Leaving Las Vegas,Nicolas Cage,185
1996 (69th) Academy Awards,Actor,Shine,Geoffrey Rush,226
1997 (70th) Academy Awards,Actor,As Good as It Gets,Jack Nicholson,195
1998 (71st) Academy Awards,Actor,Life Is Beautiful,Roberto Benigni,199
1999 (72nd) Academy Awards,Actor,American Beauty,Kevin Spacey,261
2000 (73rd) Academy Awards,Actor,Gladiator,Russell Crowe,254
2001 (74th) Academy Awards,Actor,Training Day,Denzel Washington,302
2002 (75th) Academy Awards,Actor,The Pianist,Adrien Brody,462
2003 (76th) Academy Awards,Actor,Mystic River,Sean Penn,139
2004 (77th) Academy Awards,Actor,Ray,Jamie Foxx,491
2005 (78th) Academy Awards,Actor,Capote,Philip Seymour Hoffman,208
2006 (79th) Academy Awards,Actor,The Last King of Scotland,Forest Whitaker,297
2007 (80th) Academy Awards,Actor,There Will Be Blood,Daniel Day-Lewis,199
2008 (81st) Academy Awards,Actor,Milk,Sean Penn,300
2009 (82nd) Academy Awards,Actor,Crazy Heart,Jeff Bridges,302
2010 (83rd) Academy Awards,Actor,The King's Speech,Colin Firth,320
2011 (84th) Academy Awards,Actor,The Artist,Jean Dujardin,122
2012 (85th) Academy Awards,Actor,Lincoln,Daniel Day-Lewis,254
2013 (86th) Academy Awards,Actor,Dallas Buyers Club,Matthew McConaughey,549
2014 (87th) Academy Awards,Actor,The Theory of Everything,Eddie Redmayne,195
2015 (88th) Academy Awards,Actor,The Revenant,Leonardo DiCaprio,402
2016 (89th) Academy Awards,Actor,Manchester by the Sea,Casey Affleck,218
2017 (90th) Academy Awards,Actor,Darkest Hour,Gary Oldman,290
2018 (91st) Academy Awards,Actor,Bohemian Rhapsody,Rami Malek,352
2019 (92nd) Academy Awards,Actor,Joker,Joaquin Phoenix,457
2020 (93rd) Academy Awards,Actor,The Father,Anthony Hopkins (not present; accepted by presenter),N/A
2021 (94th) Academy Awards,Actor,King Richard,Will Smith,464
2022 (95th) Academy Awards,Actor,The Whale,Brendan Fraser,240
2023 (96th) Academy Awards,Actor,Oppenheimer,Cillian Murphy,168
1939 (12th) Academy Awards,Actress,Gone with the Wind,Vivien Leigh,94
1941 (14th) Academy Awards,Actress,Suspicion,Joan Fontaine,42
1942 (15th) Academy Awards,Actress,Mrs. Miniver,Greer Garson,452
1946 (19th) Academy Awards,Actress,To Each His Own,Olivia de Havilland,218
1947 (20th) Academy Awards,Actress,The Farmer's Daughter,Loretta Young,221
1949 (22nd) Academy Awards,Actress,The Heiress,Olivia de Havilland,31
1950 (23rd) Academy Awards,Actress,Born Yesterday,Judy Holliday (not present; accepted by Ethel Barrymore),46
1951 (24th) Academy Awards,Actress,A Streetcar Named Desire,Vivien Leigh (not present; accepted by Greer Garson),43
1952 (25th) Academy Awards,Actress,"Come Back, Little Sheba",Shirley Booth (accepted in New York),100
1953 (26th) Academy Awards,Actress,Roman Holiday,Audrey Hepburn (accepted in New York),33
1954 (27th) Academy Awards,Actress,The Country Girl,Grace Kelly,33
1955 (28th) Academy Awards,Actress,The Rose Tattoo,Anna Magnani (not present; accepted by actress Marisa Pavan),82
1956 (29th) Academy Awards,Actress,Anastasia,Ingrid Bergman (not present; accepted by Cary Grant),132
1957 (30th) Academy Awards,Actress,The Three Faces of Eve,Joanne Woodward,41
1958 (31st) Academy Awards,Actress,I Want to Live!,Susan Hayward,39
1959 (32nd) Academy Awards,Actress,Room at the Top,Simone Signoret,78
1960 (33rd) Academy Awards,Actress,Butterfield 8,Elizabeth Taylor,30
1961 (34th) Academy Awards,Actress,Two Women,Sophia Loren (not present; accepted by Greer Garson),71
1962 (35th) Academy Awards,Actress,The Miracle Worker,Anne Bancroft (not present; accepted by Joan Crawford),28
1963 (36th) Academy Awards,Actress,Hud,Patricia Neal (not present; accepted by Annabella),55
1964 (37th) Academy Awards,Actress,Mary Poppins,Julie Andrews,97
1965 (38th) Academy Awards,Actress,Darling,Julie Christie,24
1966 (39th) Academy Awards,Actress,Who's Afraid of Virginia Woolf?,Elizabeth Taylor (not present; accepted by Anne Bancroft),36
1967 (40th) Academy Awards,Actress,Guess Who's Coming to Dinner,Katharine Hepburn (not present; accepted by George Cukor),44
1968 (41st) Academy Awards,Actress,The Lion in Winter,Katharine Hepburn (not present; accepted by director Anthony Harvey),50
1968 (41st) Academy Awards,Actress,Funny Girl,Barbra Streisand,177
1969 (42nd) Academy Awards,Actress,The Prime of Miss Jean Brodie,Maggie Smith (not present; accepted by Alice Ghostley),74
1970 (43rd) Academy Awards,Actress,Women in Love,Glenda Jackson (not present; accepted by Juliet Mills),41
1971 (44th) Academy Awards,Actress,Klute,Jane Fonda,41
1972 (45th) Academy Awards,Actress,Cabaret,Liza Minnelli,58
1973 (46th) Academy Awards,Actress,A Touch of Class,Glenda Jackson (not present; accepted by director Melvin Frank),119
1974 (47th) Academy Awards,Actress,Alice Doesn't Live Here Anymore,Ellen Burstyn (not present; accepted by director Martin Scorsese),57
1975 (48th) Academy Awards,Actress,One Flew over the Cuckoo's Nest,Louise Fletcher,129
1976 (49th) Academy Awards,Actress,Network,Faye Dunaway,82
1977 (50th) Academy Awards,Actress,Annie Hall,Diane Keaton,60
1978 (51st) Academy Awards,Actress,Coming Home,Jane Fonda,367
1979 (52nd) Academy Awards,Actress,Norma Rae,Sally Field,287
1980 (53rd) Academy Awards,Actress,Coal Miner's Daughter,Sissy Spacek,137
1981 (54th) Academy Awards,Actress,On Golden Pond,Katharine Hepburn (not present; accepted by presenter),N/A
1982 (55th) Academy Awards,Actress,Sophie's Choice,Meryl Streep,231
1983 (56th) Academy Awards,Actress,Terms of Endearment,Shirley MacLaine,360
1984 (57th) Academy Awards,Actress,Places in the Heart,Sally Field,144
1985 (58th) Academy Awards,Actress,The Trip to Bountiful,Geraldine Page,119
1986 (59th) Academy Awards,Actress,Children of a Lesser God,Marlee Matlin (with sign language interpreter Jack Jason),105
1987 (60th) Academy Awards,Actress,Moonstruck,Cher,185
1988 (61st) Academy Awards,Actress,The Accused,Jodie Foster,140
